probe,scene,N,q_light,ho_psnr,ho_mae
A,1d29f591697e493387d51a116b895934,3,2,14.208825976440497,0.13704033195972443
A,1dbcb5f847804c75822615e161505d83,1,2,17.855183492275742,0.11669404804706573
A,1dbcb5f847804c75822615e161505d83,2,2,17.855183985941284,0.11669404059648514
A,1dbcb5f847804c75822615e161505d83,3,2,17.85517806195853,0.1166941225528717
A,1e5929958e9d4fd5b0b8cdeaf2752d01,1,2,18.064387813369564,0.11986108869314194
A,1e5929958e9d4fd5b0b8cdeaf2752d01,2,2,18.064382633092848,0.11986115574836731
A,1e5929958e9d4fd5b0b8cdeaf2752d01,3,2,18.06439092153856,0.11986103653907776
A,1ea9f54daa68475d867243576d94e9b5,1,2,11.197651541643527,0.23762114346027374
A,1ea9f54daa68475d867243576d94e9b5,2,2,11.197617009552678,0.2376221865415573
A,1ea9f54daa68475d867243576d94e9b5,3,2,11.19760421995908,0.23762258887290955
A,1eeefd2d22dd4b6c8ec6fbfa1f885d01,1,2,10.166468112311007,0.27013707160949707
A,1eeefd2d22dd4b6c8ec6fbfa1f885d01,2,2,10.166467439874626,0.2701369822025299
A,1eeefd2d22dd4b6c8ec6fbfa1f885d01,3,2,10.16646475013015,0.27013707160949707
A,1f6c403e514e4d259ecb329543003c3d,1,2,10.641740120631109,0.26010528206825256
A,1f6c403e514e4d259ecb329543003c3d,2,2,10.641739745529934,0.26010528206825256
A,1f6c403e514e4d259ecb329543003c3d,3,2,10.641738620226613,0.26010528206825256
A,1f899649bb9f4e51a031668b0a97d438,1,2,9.272909480725142,0.28850501775741577
A,1f899649bb9f4e51a031668b0a97d438,2,2,9.272909754419214,0.28850501775741577
A,1f899649bb9f4e51a031668b0a97d438,3,2,9.272909754419214,0.28850501775741577
A,202304220aef4cac84572ec4a072bf68,1,2,10.822373152352586,0.2480303943157196
A,202304220aef4cac84572ec4a072bf68,2,2,10.807356163302009,0.24803990125656128
A,202304220aef4cac84572ec4a072bf68,3,2,10.801440149722815,0.24803344905376434
A,210f600a968c47e4abeed9c8d25f36bd,1,2,16.576668285483873,0.148268461227417
A,210f600a968c47e4abeed9c8d25f36bd,2,2,16.576663872195653,0.14826853573322296
A,210f600a968c47e4abeed9c8d25f36bd,3,2,16.57666460774338,0.14826853573322296
A,21228b0cf30745efbf0842c86f34e584,1,2,6.601953258621659,0.40391021966934204
A,21228b0cf30745efbf0842c86f34e584,2,2,6.601953554559,0.40391018986701965
A,21228b0cf30745efbf0842c86f34e584,3,2,6.601954442371137,0.4039101004600525
A,2242ba8057ed45c998208ca71cd13b3e,1,2,19.79535810726639,0.08676231652498245
A,2242ba8057ed45c998208ca71cd13b3e,2,2,19.79535810726639,0.08676233887672424
A,2242ba8057ed45c998208ca71cd13b3e,3,2,19.79535810726639,0.08676233887672424
A,229df31da28c4d3390d6ae1fef2867e0,1,2,6.52942170460295,0.4637351632118225
A,229df31da28c4d3390d6ae1fef2867e0,2,2,6.529422868746789,0.46373507380485535
A,229df31da28c4d3390d6ae1fef2867e0,3,2,6.529423159782796,0.46373507380485535
A,22a62914e48948cbb93a08364e3d650c,1,2,16.639498403826124,0.13873234391212463
