scene,N,subset,pixel_seed,cheap_info
A_cylinder,3,"3,17,29",275723088,-6.027536529654646
A_cylinder,3,"9,19,25",1596455628,-7.170778960861881
A_cylinder,3,"6,15,31",862849631,-6.636170996018797
A_cylinder,3,"10,21,24",1219144283,-6.089942410470304
A_cylinder,3,"18,20,24",70433632,-6.095281492411583
A_cylinder,3,"4,13,14",550586249,-5.89236558400828
A_cylinder,3,"7,10,24",398779511,-6.188456468698434
A_cylinder,3,"1,14,23",1839757442,-6.52024908765886
A_cylinder,3,"6,12,26",1762755351,-6.298454500479495
A_cylinder,3,"5,22,24",602682424,-5.893359958343189
A_cylinder,3,"3,6,20",1457508629,-5.926117427414425
A_cylinder,3,"2,3,23",1457947578,-6.000037626834997
A_cylinder,3,"11,13,28",1602861021,-5.982867557261204
A_cylinder,3,"5,11,26",1539745926,-5.903743722922039
A_cylinder,3,"15,19,29",573069203,-6.4549341007317125
A_cylinder,3,"1,20,25",1290874099,-7.253043446239122
A_cylinder,3,"14,25,27",188092628,-7.40688590363564
A_cylinder,3,"14,17,18",1247550843,-6.077414154415852
A_cylinder,3,"1,5,11",301457674,-5.918755969053149
A_cylinder,3,"2,23,30",261881044,-6.582513476401076
A_cylinder,3,"5,6,23",1902419432,-5.875165599648531
A_cylinder,3,"1,6,11",1894537979,-6.2666099415924945
A_cylinder,3,"20,25,27",58684012,-7.396451937810606
A_cylinder,3,"8,19,28",298920740,-5.918432968502851
A_cylinder,3,"9,14,23",231314092,-6.601693032147395
A_cylinder,3,"3,21,23",695231105,-6.015442007751252
A_cylinder,3,"12,16,31",1139710151,-6.157078806206414
A_cylinder,3,"5,25,29",604920801,-5.917834101826633
A_cylinder,3,"2,13,15",362852271,-5.975064696674805
A_cylinder,3,"7,10,29",1306587675,-6.17163594299168
A_cylinder,3,"24,28,31",1763380733,-6.617964141368092
A_cylinder,3,"6,21,31",1302078739,-6.112918792472571
A_cylinder,3,"13,23,30",417338319,-5.952639466616252
A_cylinder,3,"5,14,18",1001435722,-5.877206913811353
A_cylinder,3,"10,12,20",866179323,-6.219249062539539
A_cylinder,3,"11,15,19",2112685785,-6.478440760087896
A_cylinder,3,"3,17,26",365082561,-6.050575076468815
A_cylinder,3,"20,25,27",2110715288,-7.476309143282081
A_cylinder,3,"18,23,27",789681841,-6.214600089056584
A_cylinder,3,"18,25,27",603343121,-6.1692797898282326
A_cylinder,3,"3,15,21",561224472,-5.9807450834711275
A_cylinder,3,"4,13,16",1133153631,-5.858088057381272
A_cylinder,3,"5,13,31",1878047468,-5.880500853997067
A_cylinder,3,"12,14,19",1967729669,-7.321586165273333
A_cylinder,3,"5,21,25",84721881,-5.954253583792153
A_cylinder,3,"9,13,19",1645058018,-5.958006878037703
A_cylinder,3,"13,26,28",139866506,-5.974001270539629
A_cylinder,3,"1,4,9",1680621158,-7.797513216417053
A_cylinder,3,"2,10,25",1805390950,-6.045015339888083
A_cylinder,3,"5,16,24",1439444419,-5.916563269909448
A_cylinder,3,"5,20,22",1683184819,-5.864988506557419
A_cylinder,3,"5,20,25",1219555607,-5.868770831817049
A_cylinder,3,"13,26,29",111585613,-6.042119718139869
A_cylinder,3,"18,28,30",118052041,-6.234817020008292
A_cylinder,3,"11,24,30",221872206,-6.451159744998102
A_cylinder,3,"2,4,14",344270753,-6.4445219701440895
A_cylinder,3,"12,20,26",1666272896,-6.23578960876469
A_cylinder,3,"3,8,26",952110669,-5.96067071079725
A_cylinder,3,"2,20,22",1681464121,-6.809579591737287
A_cylinder,3,"19,22,28",1562653861,-7.1168036801928904
A_cylinder,3,"2,8,31",1076820930,-5.947662592391066
A_cylinder,3,"14,28,31",239711006,-6.61688973103422
A_cylinder,3,"15,30,31",736788342,-6.777953255381331
A_cylinder,3,"2,10,22",734446544,-6.196083138934218
A_cylinder,3,"2,14,17",263453553,-6.5194342674081955
A_cylinder,3,"3,22,27",1670911001,-5.994312147735003
A_cylinder,3,"16,23,30",6792536,-6.11271513938835
A_cylinder,3,"2,6,12",215705771,-6.453452713698497
A_cylinder,3,"8,21,22",1564353113,-5.953610124825377
A_cylinder,3,"10,15,25",1839776819,-6.206381802848942
A_cylinder,3,"0,2,16",170954660,-5.880594718963507
A_cylinder,3,"5,16,30",2036495140,-5.8807027393578295
A_cylinder,3,"7,24,25",1104007434,-6.430058990581867
A_cylinder,3,"1,10,18",742957644,-6.138095274998247
A_cylinder,3,"5,23,31",1361533942,-5.914933537306711
A_cylinder,3,"17,19,27",1331383558,-7.229313892484429
A_cylinder,3,"24,26,29",263722344,-6.222893149637049
A_cylinder,3,"4,17,27",1088156869,-7.417269349656089
A_cylinder,3,"12,18,20",1849081145,-6.0392075986115925
