scene,N,subset,solver_seed,render_realization,reconstruction_error,ho_psnr,query_light,final_objective,grad_norm,proj_grad_norm,tail_rel_change,tail_range_abs,conv_finite,old_style_converged,iters,trace_file
conf_prism8,8,"1,3,7,9,10,18,22,23",40004,0,0.003257234813645482,17.863574032652853,0,6.139113975223154e-05,0.00031233766526303605,2.3360493183135986,0.014144950408496131,,1,0,2400,conf_prism8_N8_1-3-7-9-10-18-22-23_s40004_r0.npy
conf_prism8,8,"7,8,9,16,26,29,30,31",40000,0,0.0031952348072081804,20.07499446047637,0,6.690435111522675e-05,0.00033545920435448107,2.514317274093628,0.013045954961162617,,1,0,2400,conf_prism8_N8_7-8-9-16-26-29-30-31_s40000_r0.npy
conf_prism8,8,"7,8,9,16,26,29,30,31",40001,0,0.003193517215549946,20.090954253019536,0,6.679387297481298e-05,0.0003351959747370521,2.5207996368408203,0.01314923181497329,,1,0,2400,conf_prism8_N8_7-8-9-16-26-29-30-31_s40001_r0.npy
conf_prism8,8,"7,8,9,16,26,29,30,31",40002,0,0.0031873087864369154,20.063197595973428,0,6.634391320403665e-05,0.0003339890393470862,2.5325839519500732,0.012312466509428686,,1,0,2400,conf_prism8_N8_7-8-9-16-26-29-30-31_s40002_r0.npy
conf_prism8,8,"7,8,9,16,26,29,30,31",40003,0,0.0031924552749842405,20.088058650689526,0,6.708473665639758e-05,0.00033463327376739496,2.512723684310913,0.015530491354933201,,1,0,2400,conf_prism8_N8_7-8-9-16-26-29-30-31_s40003_r0.npy
conf_prism8,8,"7,8,9,16,26,29,30,31",40004,0,0.003190879011526704,20.108284346416312,0,6.694124022033066e-05,0.00033306910886481166,2.5002124309539795,0.015482916163695796,,1,0,2400,conf_prism8_N8_7-8-9-16-26-29-30-31_s40004_r0.npy
conf_prism8,8,"8,14,15,19,23,24,25,27",40000,0,0.0032488727010786533,18.267632758172702,0,6.462863530032337e-05,0.00031988487452103365,2.32546067237854,0.012659510416671358,,1,0,2400,conf_prism8_N8_8-14-15-19-23-24-25-27_s40000_r0.npy
conf_prism8,8,"8,14,15,19,23,24,25,27",40001,0,0.0032489318400621414,18.263032664108547,0,6.482175376731902e-05,0.0003189618545937292,2.3061912059783936,0.016740759997099574,,1,0,2400,conf_prism8_N8_8-14-15-19-23-24-25-27_s40001_r0.npy
conf_prism8,8,"8,14,15,19,23,24,25,27",40002,0,0.0032434724271297455,18.254890215050438,0,6.474827387137339e-05,0.0003175515308017211,2.292205810546875,0.016674242479577613,,1,0,2400,conf_prism8_N8_8-14-15-19-23-24-25-27_s40002_r0.npy
conf_prism8,8,"8,14,15,19,23,24,25,27",40003,0,0.003240554826334119,18.249545616079807,0,6.51300506433472e-05,0.00032166973296735815,2.3309245109558105,0.01095380993779078,,1,0,2400,conf_prism8_N8_8-14-15-19-23-24-25-27_s40003_r0.npy
