domain,model,scene,N,si_mae_A,light_dir_err,light_shape_err
analytic15_sh,sh,0437089225fb4b8496c6c4a824d370e6,1,0.06267587840557098,0.7103760244038191,0.38352977501986063
analytic15_sh,sh,0437089225fb4b8496c6c4a824d370e6,2,0.05744253844022751,4.449217489243545,0.3343437002264852
analytic15_sh,sh,0437089225fb4b8496c6c4a824d370e6,3,0.040591251105070114,12.1143470268352,0.49823910363348967
analytic15_sh,sh,0437089225fb4b8496c6c4a824d370e6,5,0.03583560883998871,13.456636930612259,0.5008914867553182
analytic15_sh,sh,0437089225fb4b8496c6c4a824d370e6,7,0.04257487878203392,11.532457742118202,0.4609035157709003
analytic15_sh,sh,0437089225fb4b8496c6c4a824d370e6,10,0.038223616778850555,10.90071705637814,0.43827787613346575
analytic15_sh,sh,0437089225fb4b8496c6c4a824d370e6,15,0.03865618258714676,12.742417454730502,0.46421417243756213
analytic15_sh,sh,048002dcad254cf8b57d51d84ad84435,1,0.08283501118421555,19.126031902779037,0.6167695303281027
analytic15_sh,sh,048002dcad254cf8b57d51d84ad84435,2,0.07426705956459045,12.994192520478542,0.45096009433898876
analytic15_sh,sh,048002dcad254cf8b57d51d84ad84435,3,0.027506642043590546,26.62601404469197,0.6671880228731686
analytic15_sh,sh,048002dcad254cf8b57d51d84ad84435,5,0.023038238286972046,25.373465076022953,0.730360615925586
analytic15_sh,sh,048002dcad254cf8b57d51d84ad84435,7,0.02902732789516449,24.10518547776814,0.6100752833096309
analytic15_sh,sh,048002dcad254cf8b57d51d84ad84435,10,0.02465669810771942,26.010735669463678,0.669736668342156
analytic15_sh,sh,048002dcad254cf8b57d51d84ad84435,15,0.0249126348644495,23.635589764652853,0.6364868836873545
analytic15_sh,sh,04dbe2471a134bd68f5b8d8d4af95aae,1,0.07363193482160568,24.388286506298392,0.6530316087743194
analytic15_sh,sh,04dbe2471a134bd68f5b8d8d4af95aae,2,0.08688216656446457,17.082879686867717,0.4802532976580493
analytic15_sh,sh,04dbe2471a134bd68f5b8d8d4af95aae,3,0.024234669283032417,20.081636349613888,0.575098865267694
analytic15_sh,sh,04dbe2471a134bd68f5b8d8d4af95aae,5,0.02043883129954338,16.877792473198454,0.5468249098435235
analytic15_sh,sh,04dbe2471a134bd68f5b8d8d4af95aae,7,0.025936229154467583,23.24349237892989,0.6019562540482811
analytic15_sh,sh,04dbe2471a134bd68f5b8d8d4af95aae,10,0.022068137302994728,14.713819267901593,0.4983681456678496
analytic15_sh,sh,04dbe2471a134bd68f5b8d8d4af95aae,15,0.022225743159651756,15.727123132269883,0.5243281884876357
analytic15_sh,sh,04e43ff1195e45029a03b6cdc53f9aa8,1,0.00014698969607707113,66.15439923214193,1.0447943716831465
analytic15_sh,sh,04e43ff1195e45029a03b6cdc53f9aa8,2,0.00014698719314765185,49.624101017896734,0.9293890329230343
analytic15_sh,sh,04e43ff1195e45029a03b6cdc53f9aa8,3,0.00014698668383061886,79.12231318152604,1.0245841241576574
analytic15_sh,sh,04e43ff1195e45029a03b6cdc53f9aa8,5,0.00014698800805490464,112.44721127489306,1.0719550013134131
analytic15_sh,sh,04e43ff1195e45029a03b6cdc53f9aa8,7,0.0001469895796617493,70.43726685589016,1.021908583626745
analytic15_sh,sh,04e43ff1195e45029a03b6cdc53f9aa8,10,0.00014698808081448078,95.29702015847452,1.0797246396276559
analytic15_sh,sh,04e43ff1195e45029a03b6cdc53f9aa8,15,0.00014698866289108992,87.60666723260783,1.0872596851803615
analytic15_sh,sh,04e5ee9a0baa446e9ab973cce0153bc8,1,0.00014720814942847937,47.798864743731926,1.0327550118888087
analytic15_sh,sh,04e5ee9a0baa446e9ab973cce0153bc8,2,0.00014720727631356567,51.136890781905464,0.9811008977958624
analytic15_sh,sh,04e5ee9a0baa446e9ab973cce0153bc8,3,0.0001472079020459205,81.00691725102774,1.0593675828844533
analytic15_sh,sh,04e5ee9a0baa446e9ab973cce0153bc8,5,0.00014720830949954689,109.19459310019052,1.082333703298792
analytic15_sh,sh,04e5ee9a0baa446e9ab973cce0153bc8,7,0.00014720814942847937,69.53227532099649,1.09752079769705
analytic15_sh,sh,04e5ee9a0baa446e9ab973cce0153bc8,10,0.00014720761100761592,89.631449332641,1.1189903606269502
analytic15_sh,sh,04e5ee9a0baa446e9ab973cce0153bc8,15,0.00014720819308422506,77.92890225623255,1.1232614329479431
analytic15_sh,sh,05703932eb2c45c0918d4f91c875d064,1,0.01669267565011978,19.99844610341299,0.5063292138598022
analytic15_sh,sh,05703932eb2c45c0918d4f91c875d064,2,0.016423674300312996,15.464288370523192,0.4221884923683754
analytic15_sh,sh,05703932eb2c45c0918d4f91c875d064,3,0.013368143700063229,17.119534100610135,0.5237642908145936
analytic15_sh,sh,05703932eb2c45c0918d4f91c875d064,5,0.012220815755426884,14.97597703672028,0.49279919723803156
analytic15_sh,sh,05703932eb2c45c0918d4f91c875d064,7,0.013918173499405384,19.820809696454155,0.5445556631604314
analytic15_sh,sh,05703932eb2c45c0918d4f91c875d064,10,0.012619894929230213,17.15403998194786,0.5093696936281725
