scene,N,subset,final_loss,success,converged,grad_norm,tail_range,restart,iters,si_mae_A,ho_psnr
conf_cone_r04_d12,3,"16,30,31",0.00014540969277732074,0,0,0.00048641825179506284,nan,0,1400,0.008282653987407684,17.086307375832202
conf_cone_r04_d12,3,"17,20,21",0.00013325312465894967,0,0,0.0005389858971734389,nan,0,1400,0.0069175767712295055,17.712574043687745
conf_cone_r04_d12,3,"17,20,28",0.00011238548177061602,0,0,0.00046955987496130185,nan,0,1400,0.006750584580004215,14.789247420306683
conf_cone_r04_d12,3,"17,21,27",0.0001298326678806916,0,0,0.0005244715123617627,nan,0,1400,0.0069649540819227695,17.589852523090915
conf_cone_r04_d12,3,"19,20,22",0.00012067196075804532,0,0,0.0003732562512584872,nan,0,1400,0.025538329035043716,13.338397082158508
conf_cone_r04_d12,3,"20,21,23",0.0001481379586039111,0,0,0.0005127039867545809,nan,0,1400,0.0074758646078407764,17.906842080115766
conf_cone_r04_d12,3,"20,26,31",0.0001484004023950547,0,0,0.0005223190999207629,nan,0,1400,0.007674134336411953,17.921385483636655
conf_cone_r04_d12,3,"24,27,28",0.00012326534488238394,0,0,0.00046504353572014354,nan,0,1400,0.006352756172418594,14.904549657347786
conf_cone_r04_d12,3,"27,30,31",0.00012596833403222263,0,0,0.0005119493755793503,nan,0,1400,0.0064148795790970325,16.52555577665694
conf_cone_r04_d12,5,"0,2,3,6,17",0.00011905549035873264,0,0,0.0005381954722758751,nan,0,1800,0.007461323402822018,32.823687597993384
conf_cone_r04_d12,5,"0,3,27,29,31",0.00013828961527906358,0,0,0.0005380674917856836,nan,0,1800,0.006988990120589733,32.90866974605998
conf_cone_r04_d12,5,"0,6,16,23,24",0.00013599316298495978,0,0,0.0005346035932483936,nan,0,1800,0.007129646837711334,32.84670529860341
conf_cone_r04_d12,5,"0,23,26,27,29",0.00014477460354100913,0,0,0.0005485959854355908,nan,0,1800,0.006596245802938938,32.996206196027615
conf_cone_r04_d12,5,"1,3,18,20,21",0.00011816951155196875,0,0,0.0005562690078199125,nan,0,1800,0.007088355254381895,17.841227308042946
conf_cone_r04_d12,5,"1,6,11,21,27",0.00010292862134519964,0,0,0.0005223620739847811,nan,0,1800,0.007464160211384296,16.39070049801495
conf_cone_r04_d12,5,"2,3,4,19,27",0.00010954062599921599,0,0,0.0005028840882169639,nan,0,1800,0.007039862219244242,15.437709443403012
conf_cone_r04_d12,5,"2,3,5,21,22",0.00013483288057614118,0,0,0.0005615184396135033,nan,0,1800,0.006981514394283295,18.401660891702882
conf_cone_r04_d12,5,"2,3,12,14,17",0.00010303621820639819,0,0,0.0005072520358375202,nan,0,1800,0.0071966336108744144,15.405262685046353
conf_cone_r04_d12,5,"2,8,18,30,31",0.00013818081060890108,0,0,0.0005638424144245417,nan,0,1800,0.006478725001215935,18.310382706569925
conf_cone_r04_d12,5,"2,11,22,29,31",0.00012286496348679066,0,0,0.0005260833479884562,nan,0,1800,0.00657410966232419,16.789364072746423
conf_cone_r04_d12,5,"3,4,15,23,28",0.00011454478953965008,0,0,0.0005117548195523872,nan,0,1800,0.006743772886693478,16.089313545651223
conf_cone_r04_d12,5,"3,16,20,21,29",0.00012716109631583095,0,0,0.0005315235281745269,nan,0,1800,0.006782459560781717,17.08793175455548
conf_cone_r04_d12,5,"4,9,11,17,21",0.00010659318650141358,0,0,0.0005306112401377883,nan,0,1800,0.007237499579787254,16.45353079079039
conf_cone_r04_d12,5,"4,15,22,23,24",0.00011429056758061051,0,0,0.0005077847901542144,nan,0,1800,0.006563989911228418,15.908748784417721
conf_cone_r04_d12,5,"5,7,8,27,28",0.00014645347255282104,0,0,0.0005585920140561284,nan,0,1800,0.006740719545632601,18.44836138439819
conf_cone_r04_d12,5,"5,10,15,26,27",0.00014486792497336864,0,0,0.0005646345395257665,nan,0,1800,0.0064796097576618195,18.76514245452806
conf_cone_r04_d12,5,"5,14,17,24,28",0.00013610707537736744,0,0,0.000539378930523476,nan,0,1800,0.006822071969509125,17.829802434653732
conf_cone_r04_d12,5,"6,7,12,23,30",0.00010348756040912122,0,0,0.0005067586131583087,nan,0,1800,0.006741389166563749,15.639765211528765
conf_cone_r04_d12,5,"6,7,13,21,30",0.00012756911746691912,0,0,0.0005595383108835756,nan,0,1800,0.006943921092897654,18.314075148540677
conf_cone_r04_d12,5,"6,8,12,18,23",0.0001235692761838436,0,0,0.0005566847782174718,nan,0,1800,0.00692970072850585,18.194880270669824
conf_cone_r04_d12,5,"6,9,19,20,22",8.933947538025677e-05,0,0,0.00044304979375551134,nan,0,1800,0.006947188638150692,13.449461399036192
conf_cone_r04_d12,5,"6,16,22,28,30",0.00011014287156285718,0,0,0.0005144828769747412,nan,0,1800,0.0067831468768417835,15.955112108688285
conf_cone_r04_d12,5,"7,8,11,18,25",0.00012884789612144232,0,0,0.0005565834918646176,nan,0,1800,0.006895228289067745,17.976398090268056
conf_cone_r04_d12,5,"8,23,26,29,31",0.0001411904231645167,0,0,0.0005353588229469936,nan,0,1800,0.006519383750855923,18.078392982372232
conf_cone_r04_d12,5,"9,13,18,21,31",0.0001367683580610901,0,0,0.0005755282331976858,nan,0,1800,0.006598110776394606,18.760749910153883
conf_cone_r04_d12,5,"13,14,22,28,30",0.00012751315080095083,0,0,0.0005481166044108921,nan,0,1800,0.006794491782784462,17.74011661947018
conf_cone_r04_d12,5,"17,19,25,27,28",0.0001026659447234124,0,0,0.00046864595778142276,nan,0,1800,0.00656494777649641,14.421354875772096
conf_cone_r04_d12,5,"18,19,21,24,29",0.00013603211846202612,0,0,0.0005494074277705763,nan,0,1800,0.006457592826336622,17.858938453973042
conf_cone_r04_d12,5,"20,25,26,29,30",0.0001244605955434963,0,0,0.0005406749707427944,nan,0,1800,0.006447249092161655,17.309152186797508
conf_cone_r04_d12,8,"0,1,2,15,17,19,25,27",0.00012093087570974603,0,0,0.0005317079574316418,nan,0,2400,0.007014573086053133,17.040654302317275
conf_cone_r04_d12,8,"0,2,3,10,15,20,26,27",0.00013255518570076674,0,0,0.0005469649604489945,nan,0,2400,0.006841924041509628,32.899388585993265
conf_cone_r04_d12,8,"0,2,4,6,13,19,23,24",0.00013075789320282638,0,0,0.0005403056248790323,nan,0,2400,0.007088447920978069,32.91226874159453
