P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,scene,subset
1000,5,1e-08,dense,7.260014787763055e-07,0.0023280375582130364,-7.267024099573241,6107.726913886945,999,1062.5411894708286,1.0181721754583574e-13,6.400436866146907e-14,0.097551692953325,9,0.488,0.0,conf_torus_R06_r035,"6,9,14,21,26"
1000,5,1e-08,dense,3.582857563889329e-07,0.002033011596302734,-7.158406568768854,7779.840027761591,999,1497.2501750765641,1.1606145731979378e-13,6.462648182749268e-14,0.09554885867439791,9,0.795,0.0,conf_torus_R06_r035,"10,16,21,28,30"
1000,5,1e-08,dense,9.663825927789494e-07,0.00133532501906979,-6.989664052528621,3471.0371639266527,999,1804.4363730758712,8.897435741697379e-13,4.0107838189552533e-13,0.07812635366885584,9,0.715,0.0,conf_torus_R06_r035,"3,5,6,8,10"
1000,5,1e-08,dense,3.6679002567918056e-07,0.0018615657942086764,-7.136026749280763,6786.308986179053,999,1511.64859480295,-1.9733064913118116e-13,8.018556478987037e-14,0.08556563044433228,9,0.553,0.0,conf_torus_R06_r035,"0,2,5,12,23"
1000,5,1e-08,dense,2.959543331538375e-07,0.0021495445708013547,-7.224252487820391,8933.155274637184,999,1548.9548372809209,1.2383280165173538e-13,4.403618787633078e-14,0.0867026100144182,9,0.83,0.0,conf_torus_R06_r035,"5,15,18,19,31"
1000,5,1e-08,dense,7.264018269845977e-07,0.001725909925392943,-7.073796527264446,4154.527066081742,999,1525.0722124445565,-1.001467661850366e-13,4.3592021616593206e-14,0.08582958419349113,9,0.71,0.0,conf_torus_R06_r035,"5,6,16,26,30"
1000,5,1e-08,dense,8.126239032868823e-07,0.0019152866817077501,-7.153518840510676,5092.792171863539,999,1309.9329148234979,2.1219377038102577e-15,5.2033379476473196e-14,0.07726258918229217,9,0.559,0.0,conf_torus_R06_r035,"3,12,21,23,27"
1000,5,1e-08,dense,1.0221315665411199e-06,0.0022685531369992834,-7.121577286845224,3899.9080664751295,999,1168.6221395085108,-1.4993388475215141e-13,6.867825471203879e-14,0.06755451085527611,9,0.567,0.0,conf_torus_R06_r035,"8,12,14,23,31"
1000,5,1e-08,dense,6.158149270687187e-07,0.0030399701664505737,-7.459003262848293,15702.38817571034,999,783.108789271959,-1.9337092691333327e-13,1.1003097763631171e-13,0.07848978191722725,9,0.451,0.0,conf_torus_R06_r035,"4,7,11,22,29"
1000,5,1e-08,dense,1.8803116844133315e-07,0.0024787821445354527,-7.374665015743589,17738.910355301257,999,1272.2626255515786,-1.210446842856306e-13,7.261043819035671e-14,0.0981887844572335,9,0.731,0.0,conf_torus_R06_r035,"2,20,24,29,31"
1000,5,1e-08,dense,3.291691918362472e-07,0.0025184780531565705,-7.345078082724076,9063.483993013906,999,1423.652031425955,2.737260286973369e-13,9.109402585902218e-14,0.11144687517078294,9,0.517,0.0,conf_torus_R06_r035,"1,18,21,23,31"
1000,5,1e-08,dense,8.857854571699263e-07,0.0018348231860561529,-7.112999921825905,4349.804537482171,999,1387.7492597107139,-2.0234703279386713e-14,2.985443975647545e-14,0.09818180891022145,9,0.676,0.0,conf_torus_R06_r035,"3,14,18,21,22"
1000,5,1e-08,dense,8.456482923042172e-07,0.0022719806680088256,-7.244595337661762,6204.614258586729,999,1174.860867344662,9.798658810658968e-14,5.5601010602038176e-14,0.08647941107744501,9,0.665,0.0,conf_torus_R06_r035,"14,15,16,22,26"
1000,5,1e-08,dense,3.69628991922705e-07,0.0021601176110993252,-7.185117714917144,7660.501908981639,999,1464.642131499596,-7.361949591611072e-14,3.0482770387032616e-14,0.10041805786215025,9,0.729,0.0,conf_torus_R06_r035,"13,20,21,23,27"
1000,5,1e-08,dense,4.178809131637971e-07,0.002665772693412317,-7.360549676002691,10977.007338895575,999,1131.5011367004174,1.7290153991138283e-14,2.4290020197698472e-14,0.09623401733048717,9,0.713,0.0,conf_torus_R06_r035,"6,15,16,24,30"
1000,5,1e-08,dense,6.259492532634356e-07,0.00198994751555482,-7.195661050858467,5508.129523457956,999,1266.9810095424898,-6.6741100493429e-14,4.388208350370093e-14,0.081814970264731,9,0.677,0.0,conf_torus_R06_r035,"3,7,24,25,26"
1000,5,1e-08,dense,8.681757960257355e-07,0.00385304653667558,-7.283627857460099,4558.931168183588,999,567.4686466965252,3.100486140328144e-14,4.581562689291871e-14,0.08094526296368999,9,0.535,0.0,conf_torus_R06_r035,"1,2,11,12,14"
1000,8,1e-08,dense,6.205188399488648e-07,0.004416653167178092,-7.624860946064538,15160.097634476677,999,1033.637197118362,-9.70720938330211e-14,2.6820955427432147e-14,0.16960890348188856,9,0.424,0.0,conf_torus_R06_r035,"4,7,9,22,25,26,30,31"
1000,8,1e-08,dense,1.2589897811366497e-06,0.0018165238309636002,-7.051050048777338,2944.224163135204,999,1910.4331784614844,-1.8315475612439355e-13,6.806921613159141e-14,0.1292345913097747,9,0.585,0.0,conf_torus_R06_r035,"0,7,12,14,16,18,22,31"
1000,8,1e-08,dense,4.1926632893308333e-07,0.003123420958576712,-7.476563432335868,14620.157394851829,999,1380.592883608444,4.46986297219616e-15,2.6207406847227117e-14,0.14699870835839357,9,0.521,0.0,conf_torus_R06_r035,"1,10,12,17,18,27,30,31"
1000,8,1e-08,dense,9.950077726978802e-07,0.0030074444783772074,-7.259184394330032,5348.787363694799,999,1281.6783533746075,1.514434525361434e-13,5.036949059067224e-14,0.1491509610286867,9,0.53,0.0,conf_torus_R06_r035,"1,5,10,14,20,25,27,30"
1000,8,1e-08,dense,6.78122238420662e-07,0.0016715297475220672,-7.075409558086664,4676.567049248634,999,2905.8502194099046,-7.683709982934336e-13,1.9592426441041018e-13,0.11033742211548893,9,0.691,0.0,conf_torus_R06_r035,"3,6,8,13,15,18,21,24"
1000,8,1e-08,dense,1.1511286458541998e-06,0.0014876592641480727,-7.019523581340845,3087.104062367932,999,2283.402720063026,-1.4028923568036902e-13,8.614232880777351e-14,0.09443312591694679,9,0.535,0.0,conf_torus_R06_r035,"0,1,2,5,7,16,21,30"
1000,8,1e-08,dense,9.561931741050266e-07,0.001730131550645875,-7.056398079420284,3750.443859750923,999,2761.466622237913,4.4364239573522124e-14,5.087536360492509e-14,0.1058343274040373,9,0.713,0.0,conf_torus_R06_r035,"3,5,6,13,15,21,23,31"
1000,8,1e-08,dense,1.4108143197143106e-06,0.0015133887799012985,-7.009898302987551,2999.724448078314,999,2220.905613093825,-6.066483940948343e-13,1.9465964687829878e-13,0.1076020752243281,9,0.585,0.0,conf_torus_R06_r035,"0,2,7,8,11,17,21,30"
1000,8,1e-08,dense,7.173539878877502e-07,0.003278459378630672,-7.3714233903020325,7336.046569884372,999,1454.3272714043624,-5.0908279328366446e-14,2.4045213156790027e-14,0.17733316282446784,9,0.589,0.0,conf_torus_R06_r035,"3,15,17,19,22,24,28,30"
1000,8,1e-08,dense,2.15755519924259e-06,0.0018390225425237133,-7.084877579968888,2778.9069894901986,999,1671.0756790926175,6.837669703594314e-15,1.8598746940481646e-14,0.09971603479234406,9,0.453,0.0,conf_torus_R06_r035,"4,7,8,9,10,11,27,31"
