scene,N,subset,lambda_min_eff,logdet_eff,a_opt_eff,si_mae_A,ho_psnr
cylinder,5,"3,16,17,20,27",0.03070219010584976,-324.45885985589166,1.8600710534891236,0.006244650576263666,19.88491689552992
cylinder,5,"8,13,16,27,30",0.0030758734742585424,1262.1214680969597,1.6609374827349215,0.007950791157782078,22.720510455937482
cylinder,5,"0,9,14,22,29",0.10251259212041954,487.07803218508246,0.9471618892035402,0.007544280495494604,28.972289369363054
cylinder,5,"4,21,24,26,30",0.01654526468951801,394.10291449029256,2.2261148089306673,0.008912296034395695,20.512510364030206
cylinder,5,"1,4,16,26,29",0.0135044693325316,228.2747619745661,2.4934432610846273,0.008711296133697033,19.944511563224488
cylinder,5,"11,18,19,23,29",0.0014589242830023968,6.013443027508428,7.7404382759881605,0.009206676855683327,18.82752599331161
cylinder,5,"2,10,19,21,24",0.023653199940320162,220.97838454136433,1.9953456588335605,0.008126633241772652,19.371387621874053
cylinder,5,"2,6,7,8,13",0.02592706498720971,550.3082805960781,1.278499690694436,0.006001629866659641,21.727337556223855
cylinder,5,"3,7,11,14,29",0.002928935487129594,-450.080563327108,3.1591750374232923,0.0076635004952549934,19.19401449193488
cylinder,5,"3,10,21,22,24",0.0008341967248145939,583.2147149510571,1.749559039744882,0.008630163036286831,20.6149593344751
cylinder,5,"1,4,5,15,25",0.002713259211232947,-660.7454002796708,1.8235697769362196,0.005491313058882952,19.36111294770461
cylinder,5,"0,5,7,25,30",0.1294887940210247,788.0718348913465,0.7718739421610139,0.00569089176133275,29.202198593227738
cylinder,5,"6,9,24,25,26",0.003301580348864003,-760.6073070943723,6.823473555365216,0.006279813125729561,18.560051175055357
cylinder,5,"3,12,20,25,31",0.0004684646235376775,-962.5339971956234,8.574391622579878,0.006654168479144573,18.957211189598244
cylinder,5,"1,9,12,13,14",0.036478975657957116,-634.8294145139672,1.849301371398387,0.005575580522418022,19.360656998864282
cylinder,5,"6,11,15,18,26",0.011938975170329333,-96.16153104010729,3.026688556992496,0.007595321163535118,18.9723113967799
cylinder,5,"12,16,21,25,26",0.0396037092014737,674.4040420977556,1.3904082957082928,0.008238032460212708,21.04977409998194
cylinder,8,"0,1,6,12,21,22,29,31",0.08205217818798963,1460.8466797345905,0.7123205198121965,0.005642230622470379,19.210986987104693
cylinder,8,"2,5,13,16,20,21,26,28",0.16080829683435896,2053.548985797548,0.49629461866736113,0.005625669378787279,21.72362702425593
cylinder,8,"8,10,14,17,20,23,24,31",0.0007223693142373662,957.3365243496514,4.994383159524013,0.005945058073848486,20.013843626919815
cylinder,8,"0,1,4,7,12,15,19,29",0.10381716749579147,689.7202972889608,0.8902974884247781,0.005453960504382849,18.739051140021296
cylinder,8,"8,9,14,21,22,28,29,31",0.04900717169431308,1383.9220643220979,0.8570185881876461,0.00568340253084898,20.931093506276568
cylinder,8,"0,3,4,7,12,21,22,24",0.06573076372981139,1332.969049305006,0.7348033722152637,0.005270794034004211,28.934451496795116
cylinder,8,"0,2,3,5,9,19,21,23",0.14042711739898178,1820.4228435929772,0.5182419314192399,0.005233613308519125,28.938196134157558
cylinder,8,"6,10,12,20,23,28,29,31",0.0043052422212183925,195.57329535262147,4.200580225383742,0.0065308124758303165,17.92487507272051
cylinder,8,"1,7,10,11,14,17,25,26",0.004028169749398176,-407.0691703367361,5.158568153562905,0.005288891494274139,17.89081293460583
cylinder,8,"3,4,6,7,9,13,16,28",0.08087689399959229,830.9161146734817,0.9066105899596192,0.005222571548074484,20.129500512185352
cylinder,8,"0,1,5,11,15,16,22,25",0.1041006816270494,1458.3520709047157,0.6236239451683521,0.005023271776735783,19.269661878338013
cylinder,8,"2,6,11,17,19,20,29,30",0.00413817760466214,-669.8881867097839,6.6790163434993435,0.005407064687460661,16.860524348185095
cylinder,8,"1,3,11,13,26,27,29,31",0.053829665064349205,1543.8827311117693,0.823821216740459,0.006419599987566471,20.464338121689366
cylinder,8,"4,5,8,9,11,12,29,30",0.14656905516316693,1246.118052621509,0.673838058831706,0.005323861725628376,21.01802850140913
cylinder,8,"3,5,9,10,13,16,21,26",0.19430791168022699,2222.0719450371835,0.4348548829728944,0.005940373055636883,21.721752503659253
cylinder,8,"5,9,11,19,20,24,25,31",0.03894077321511184,698.7555308397548,1.1833868735201407,0.005841537844389677,19.48882299890354
cylinder,8,"0,3,11,12,22,24,26,31",0.061507126133441295,1596.1102505362742,0.7140628186806804,0.006161238998174667,28.765246701746307
cylinder,8,"1,3,9,11,14,15,16,28",0.02009738407790279,53.465545574182364,1.762959272713756,0.00514510041102767,18.505012264620095
cylinder,8,"0,9,11,13,17,22,23,25",0.042114788355847456,1295.7402683654823,0.8190476283101829,0.0051091439090669155,28.90624238176315
cylinder,8,"0,4,5,6,12,20,22,27",0.1173612669485794,932.0178648313565,0.7437941361257121,0.005238879006356001,28.719259884845997
cylinder,12,"2,7,9,10,15,17,18,20,22,23,24,29",0.014884436660027511,812.5394232028226,2.1451862039861904,0.005095086060464382,17.987629881700936
cylinder,12,"0,1,9,12,14,15,17,18,19,21,26,30",0.006241405956469211,1835.6076711452552,0.9953472810353227,0.005084269214421511,18.97599026549505
cylinder,12,"4,5,13,17,18,22,23,24,27,28,30,31",0.0967243916598103,1932.6439484436141,0.6073485983412323,0.004962393548339605,20.176801707288238
cylinder,12,"0,1,7,9,11,12,13,17,18,25,26,31",0.004220164430291495,1988.5527772358573,1.5088975868898418,0.00513342535123229,19.095563405200558
cylinder,12,"1,2,3,6,7,16,18,19,20,21,22,24",0.09401940640305041,1480.4330121920686,0.7953332663175728,0.004927216097712517,19.29489160834274
cylinder,12,"2,6,7,8,11,12,20,22,23,24,29,30",0.0010076826236618424,1149.0040057349609,3.2391584817458976,0.005009690299630165,18.875026839808235
