scene,N,subset_id,subset_str,I_O,I_A
conf_icosphere_sub3,5,74,"1,3,16,23,30",-6.550549951883433,-6.550244466238135
conf_icosphere_sub3,5,75,"8,9,17,25,31",-6.458422194826414,-6.458285108784585
conf_icosphere_sub3,5,76,"4,10,18,21,23",-6.598857135725172,-6.598584661966048
conf_icosphere_sub3,5,77,"2,5,12,23,28",-6.733226613773279,-6.733024545381471
conf_icosphere_sub3,5,78,"14,17,26,28,30",-6.877962051174379,-6.877398835218684
conf_icosphere_sub3,5,79,"6,9,11,12,22",-7.57910965181134,-7.578793212685428
conf_icosphere_sub3,5,80,"2,5,18,22,29",-6.503229457040463,-6.503100705838025
conf_icosphere_sub3,5,81,"1,3,5,16,19",-6.384023944044226,-6.383744891944807
conf_icosphere_sub3,5,82,"18,19,23,27,29",-6.696882904859575,-6.696857721631833
conf_icosphere_sub3,5,83,"19,20,24,25,29",-7.002402784284043,-7.002291350501515
conf_icosphere_sub3,5,84,"1,16,17,21,25",-6.588150099679121,-6.587587881529462
conf_icosphere_sub3,5,85,"2,15,18,23,25",-7.028502625931027,-7.0281904079716515
conf_icosphere_sub3,5,86,"13,16,26,28,30",-6.491861604520416,-6.491499797961522
conf_icosphere_sub3,5,87,"1,14,22,27,30",-8.033449570498432,-8.032465506676592
conf_icosphere_sub3,5,88,"10,15,17,18,22",-6.848689638401169,-6.848436717547535
conf_icosphere_sub3,5,89,"3,7,9,10,19",-6.418716238316967,-6.418678412873588
conf_icosphere_sub3,5,90,"3,5,12,20,21",-6.347792508444015,-6.347546901538581
conf_icosphere_sub3,5,91,"2,6,11,16,23",-6.533740907882924,-6.533733092123168
conf_icosphere_sub3,5,92,"13,15,18,29,31",-6.559595591546846,-6.559461130214438
conf_icosphere_sub3,5,93,"3,5,13,16,23",-6.3603991161423385,-6.3602356008407686
conf_icosphere_sub3,5,94,"0,2,6,14,30",-6.302121728974076,-6.301795578541053
conf_icosphere_sub3,5,95,"0,8,13,29,31",-6.389911852835115,-6.389809866925325
conf_icosphere_sub3,5,96,"2,5,9,17,26",-6.549167536595284,-6.548954105201393
conf_icosphere_sub3,5,97,"8,15,20,22,26",-6.450451639615114,-6.45018757857026
conf_icosphere_sub3,5,98,"10,12,22,24,28",-6.678777353294482,-6.678704668004095
conf_icosphere_sub3,5,99,"8,11,12,26,27",-6.481272827967318,-6.480989208815274
conf_hemisphere_sq,3,0,"0,1,2",-6.337255439214698,-6.336934542626401
conf_hemisphere_sq,3,1,"0,1,3",-6.439744881569466,-6.439388741728687
conf_hemisphere_sq,3,2,"0,1,4",-6.369372309900347,-6.368930131203605
conf_hemisphere_sq,3,3,"0,1,5",-6.386949000091553,-6.3865306064869465
conf_hemisphere_sq,3,4,"0,1,6",-6.380661368041041,-6.380236387820825
conf_hemisphere_sq,3,5,"0,1,7",-6.316953335113911,-6.316528746840978
conf_hemisphere_sq,3,6,"0,1,8",-6.419935260836877,-6.419513262799553
conf_hemisphere_sq,3,7,"0,1,9",-6.373545587759913,-6.373087733304802
conf_hemisphere_sq,3,8,"0,1,10",-6.359926373744236,-6.359650378800295
conf_hemisphere_sq,3,9,"0,1,11",-6.414718617573545,-6.414369829984313
conf_hemisphere_sq,3,10,"0,1,12",-6.338022870731656,-6.337614363209223
conf_hemisphere_sq,3,11,"0,1,13",-6.384150084058673,-6.383689518062068
conf_hemisphere_sq,3,12,"0,1,14",-6.37178218164573,-6.371396657569628
conf_hemisphere_sq,3,13,"0,1,15",-6.328325145899699,-6.327990093324141
conf_hemisphere_sq,3,14,"0,1,16",-6.4178982516471645,-6.417515492621351
conf_hemisphere_sq,3,15,"0,1,17",-6.3546668033142595,-6.354266701190091
conf_hemisphere_sq,3,16,"0,1,18",-6.365946271825768,-6.365618698660822
