scene,N,subset_id,subset_str,I_O,I_A
conf_cone_r04_d12,3,25,"0,1,27",-6.322201859621329,-6.322630490521557
conf_cone_r04_d12,3,26,"0,1,28",-6.340878963765432,-6.341633330298051
conf_cone_r04_d12,3,27,"0,1,29",-6.357811546892097,-6.358510543831369
conf_cone_r04_d12,3,28,"0,1,30",-6.311623623863025,-6.311742200266026
conf_cone_r04_d12,3,29,"0,1,31",-6.367638758701308,-6.368354671826116
conf_cone_r04_d12,3,30,"0,2,3",-6.332285207248368,-6.332983086941064
conf_cone_r04_d12,3,31,"0,2,4",-6.32668449536561,-6.327197017217774
conf_cone_r04_d12,3,32,"0,2,5",-6.373340750154875,-6.373946522612976
conf_cone_r04_d12,3,33,"0,2,6",-6.323161214820971,-6.323887766583943
conf_cone_r04_d12,3,34,"0,2,7",-6.330574972863182,-6.331385455727515
conf_cone_r04_d12,3,35,"0,2,8",-6.350780332894761,-6.351443152921985
conf_cone_r04_d12,3,36,"0,2,9",-6.327068065506115,-6.32765501951923
conf_cone_r04_d12,3,37,"0,2,10",-6.345415639959261,-6.346073299942661
conf_cone_r04_d12,3,38,"0,2,11",-6.323382254878428,-6.324276831244588
conf_cone_r04_d12,3,39,"0,2,12",-6.3082630484336235,-6.308934153375885
conf_cone_r04_d12,3,40,"0,2,13",-6.358308129148341,-6.3589368201486405
conf_cone_r04_d12,3,41,"0,2,14",-6.3354784025191035,-6.336000769983579
conf_cone_r04_d12,3,42,"0,2,15",-6.356842779755032,-6.357617175074965
conf_cone_r04_d12,3,43,"0,2,16",-6.337647025933569,-6.338443524756117
conf_cone_r04_d12,3,44,"0,2,17",-6.324499651008904,-6.3250217784460485
conf_cone_r04_d12,3,45,"0,2,18",-6.359891652352239,-6.360517614318574
conf_cone_r04_d12,3,46,"0,2,19",-6.314767603763709,-6.315589656877041
conf_cone_r04_d12,3,47,"0,2,20",-6.318698190199276,-6.319443477861588
conf_cone_r04_d12,3,48,"0,2,21",-6.356496007384014,-6.35717458001465
conf_cone_r04_d12,3,49,"0,2,22",-6.3286967533778595,-6.329135605482519
conf_cone_r04_d12,3,50,"0,2,23",-6.379733789161284,-6.38051319991179
conf_cone_r04_d12,3,51,"0,2,24",-6.349398823191448,-6.350325875465899
conf_cone_r04_d12,3,52,"0,2,25",-6.333911555747604,-6.334282089197059
conf_cone_r04_d12,3,53,"0,2,26",-6.364458394731472,-6.365140138282996
conf_cone_r04_d12,3,54,"0,2,27",-6.334335439683053,-6.334987761816427
conf_cone_r04_d12,3,55,"0,2,28",-6.338159614625161,-6.338961903565827
conf_cone_r04_d12,3,56,"0,2,29",-6.346439029997708,-6.347288939775636
conf_cone_r04_d12,3,57,"0,2,30",-6.3094627281005415,-6.309654789458792
conf_cone_r04_d12,3,58,"0,2,31",-6.362493674770573,-6.363325500846624
conf_cone_r04_d12,3,59,"0,3,4",-6.360490340743242,-6.360869680182412
conf_cone_r04_d12,3,60,"0,3,5",-6.389750338945035,-6.390414431817397
conf_cone_r04_d12,3,61,"0,3,6",-6.398311007690502,-6.3989712486743
conf_cone_r04_d12,3,62,"0,3,7",-6.329881953186116,-6.330700930511479
conf_cone_r04_d12,3,63,"0,3,8",-6.423537296706141,-6.424172530082565
conf_cone_r04_d12,3,64,"0,3,9",-6.3641885378679515,-6.364710390173903
conf_cone_r04_d12,3,65,"0,3,10",-6.3504967485919055,-6.351193825732041
conf_cone_r04_d12,3,66,"0,3,11",-6.375701662618114,-6.3764636655535485
conf_cone_r04_d12,3,67,"0,3,12",-6.316407121455923,-6.317141426049975
conf_cone_r04_d12,3,68,"0,3,13",-6.3928521501277,-6.393511938606022
conf_cone_r04_d12,3,69,"0,3,14",-6.369998548421584,-6.3705519466722
conf_cone_r04_d12,3,70,"0,3,15",-6.345152200096146,-6.345929345358383
conf_cone_r04_d12,3,71,"0,3,16",-6.376008371591472,-6.3767616015684885
conf_cone_r04_d12,3,72,"0,3,17",-6.332853146405208,-6.3333550459528976
conf_cone_r04_d12,3,73,"0,3,18",-6.366354515542036,-6.367054047814505
conf_cone_r04_d12,3,74,"0,3,19",-6.339646743986425,-6.340390315807001
conf_cone_r04_d12,3,75,"0,3,20",-6.306581357743967,-6.3073842335488335
conf_cone_r04_d12,3,76,"0,3,21",-6.376192351758531,-6.376897561966069
conf_cone_r04_d12,3,77,"0,3,22",-6.335480872718285,-6.335996992092148
conf_cone_r04_d12,3,78,"0,3,23",-6.36936781583336,-6.370155908570846
conf_cone_r04_d12,3,79,"0,3,24",-6.335890766015103,-6.3367205407070255
conf_cone_r04_d12,3,80,"0,3,25",-6.323139818527282,-6.323366982004479
conf_cone_r04_d12,3,81,"0,3,26",-6.367824480577293,-6.368560466159366
conf_cone_r04_d12,3,82,"0,3,27",-6.31090823646242,-6.311446582668564
conf_cone_r04_d12,3,83,"0,3,28",-6.322867377681968,-6.323691298066515
conf_cone_r04_d12,3,84,"0,3,29",-6.350464712672241,-6.351318041279318
conf_cone_r04_d12,3,85,"0,3,30",-6.322423499254243,-6.322441829547694
conf_cone_r04_d12,3,86,"0,3,31",-6.354590223963676,-6.3554341704096275
conf_cone_r04_d12,3,87,"0,4,5",-6.371983797985606,-6.372494678957433
conf_cone_r04_d12,3,88,"0,4,6",-6.359624596983042,-6.3599328826332195
conf_cone_r04_d12,3,89,"0,4,7",-6.317302007420776,-6.31795229431523
conf_cone_r04_d12,3,90,"0,4,8",-6.37391245857112,-6.37423127420867
conf_cone_r04_d12,3,91,"0,4,9",-6.337255635506342,-6.337605610151508
conf_cone_r04_d12,3,92,"0,4,10",-6.3480618713800805,-6.348599531697671
conf_cone_r04_d12,3,93,"0,4,11",-6.340729691029505,-6.341377038683354
conf_cone_r04_d12,3,94,"0,4,12",-6.325071408005364,-6.325538584029397
conf_cone_r04_d12,3,95,"0,4,13",-6.370932074094967,-6.371298419966515
conf_cone_r04_d12,3,96,"0,4,14",-6.334213974873903,-6.33435006841765
conf_cone_r04_d12,3,97,"0,4,15",-6.332519302354681,-6.333086218694091
conf_cone_r04_d12,3,98,"0,4,16",-6.346452007024468,-6.346908773339275
conf_cone_r04_d12,3,99,"0,4,17",-6.320275130605848,-6.320473470300978
conf_cone_r04_d12,3,100,"0,4,18",-6.362571850213468,-6.363020791345136
conf_cone_r04_d12,3,101,"0,4,19",-6.326105864809464,-6.3266223097040015
conf_cone_r04_d12,3,102,"0,4,20",-6.323899729120905,-6.324462991440701
conf_cone_r04_d12,3,103,"0,4,21",-6.3613837574354575,-6.361782283446842
