scene,N,arm,subset_id,subset_str,reconstruction_error,success
conf_cylinder_r03_d12,3,proxy_top,174,"0,7,17",0.0001114801416406408,0
conf_cylinder_r03_d12,3,proxy_top,28,"0,1,30",0.00012562617484945804,0
conf_cylinder_r03_d12,3,proxy_top,230,"0,9,28",0.00011547529720701277,0
conf_cylinder_r03_d12,3,proxy_top,276,"0,12,14",0.00011342146899551153,0
conf_cylinder_r03_d12,3,proxy_top,338,"0,15,25",0.00012880029680673033,0
conf_cylinder_r03_d12,3,proxy_top,372,"0,17,30",0.00013360276352614164,0
conf_cylinder_r03_d12,3,proxy_top,369,"0,17,27",0.00012697148486040533,0
conf_cylinder_r03_d12,3,proxy_top,9,"0,1,11",0.0001105756382457912,0
conf_cylinder_r03_d12,3,proxy_top,44,"0,2,17",0.00011294812429696321,0
conf_cylinder_r03_d12,3,proxy_top,57,"0,2,30",0.00013040921476203948,0
conf_cylinder_r03_d12,3,proxy_top,187,"0,7,30",0.00012919047730974853,0
conf_cylinder_r03_d12,3,proxy_top,163,"0,6,30",0.0001302199234487489,0
conf_cylinder_r03_d12,3,proxy_top,290,"0,12,28",0.00011978198745055124,0
conf_cylinder_r03_d12,3,proxy_top,155,"0,6,22",0.00012209311535116285,0
conf_cylinder_r03_d12,3,proxy_top,403,"0,20,25",0.00013886787928640842,0
conf_cylinder_r03_d12,3,proxy_top,22,"0,1,24",0.00012064377369824797,0
conf_cylinder_r03_d12,3,proxy_top,268,"0,11,25",0.0001333804102614522,0
conf_cylinder_r03_d12,3,proxy_top,49,"0,2,22",0.00012366645387373865,0
conf_cylinder_r03_d12,3,proxy_top,179,"0,7,22",0.00012223902740515769,0
conf_cylinder_r03_d12,3,proxy_top,216,"0,9,14",0.00010913985170191154,0
conf_cylinder_r03_d12,3,proxy_top,422,"0,22,25",0.00014029360318090767,0
conf_cylinder_r03_d12,3,proxy_top,255,"0,11,12",0.00011589033238124102,0
