scene,N,subset_str,I_O,I_A,diff,abs_diff,status_O,status_A,d_extra_null_O,d_extra_null_A,n_at_cutoff_O,n_at_cutoff_A
conf_sphere_r05,3,"6,19,25",-7.440908592276635,-7.4170584631178755,-0.023850129158759614,0.023850129158759614,deficient,deficient,2,3,12,11
conf_sphere_r05,3,"6,20,25",-7.444310158720343,-7.44320685251821,-0.0011033062021335027,0.0011033062021335027,deficient,deficient,3,3,17,17
conf_sphere_r05,3,"6,27,28",-7.214562904963108,-7.190767318913252,-0.023795586049855544,0.023795586049855544,deficient,deficient,1,2,6,5
conf_sphere_r05,3,"7,9,12",-8.011246037338124,-8.010008943411062,-0.0012370939270613945,0.0012370939270613945,full,full,0,0,19,19
conf_sphere_r05,3,"7,9,17",-7.867847946990787,-7.8666171955906075,-0.0012307514001799191,0.0012307514001799191,deficient,deficient,1,1,16,16
conf_sphere_r05,3,"7,9,20",-7.885094595131045,-7.883719827944438,-0.0013747671866077837,0.0013747671866077837,deficient,deficient,2,2,17,17
conf_sphere_r05,3,"7,10,15",-7.297544402952463,-7.320398122971833,0.022853720019369916,0.022853720019369916,deficient,deficient,2,1,11,12
conf_sphere_r05,3,"7,12,17",-8.055442617804415,-8.0538935397715,-0.001549078032914153,0.001549078032914153,deficient,deficient,2,2,21,21
conf_sphere_r05,3,"7,12,20",-7.9906401835087335,-7.9892108780600255,-0.001429305448708007,0.001429305448708007,deficient,deficient,2,2,21,21
conf_sphere_r05,3,"7,12,22",-7.743466292710839,-7.742324440431142,-0.0011418522796970976,0.0011418522796970976,deficient,deficient,2,2,16,16
conf_sphere_r05,3,"7,14,17",-7.679310291406254,-7.677810094614112,-0.0015001967921417503,0.0015001967921417503,deficient,deficient,3,3,14,14
conf_sphere_r05,3,"7,17,20",-7.893187073823253,-7.890879339779736,-0.002307734043516696,0.002307734043516696,deficient,deficient,3,3,20,20
conf_sphere_r05,3,"7,17,22",-7.773258885239917,-7.771849178989839,-0.0014097062500777469,0.0014097062500777469,deficient,deficient,3,3,17,17
conf_sphere_r05,3,"7,20,25",-7.800617632754027,-7.799520653738316,-0.0010969790157107084,0.0010969790157107084,deficient,deficient,3,3,24,24
conf_sphere_r05,3,"9,10,31",-6.860332814177104,-6.883613327601419,0.023280513424315252,0.023280513424315252,deficient,full,1,0,4,4
conf_sphere_r05,3,"9,12,17",-8.12449580624258,-8.12344676070955,-0.0010490455330298687,0.0010490455330298687,deficient,deficient,2,2,16,16
conf_sphere_r05,3,"9,15,17",-7.4117991504489975,-7.3872286781314935,-0.024570472317503977,0.024570472317503977,deficient,deficient,1,2,8,7
conf_sphere_r05,3,"9,17,23",-7.170935797285019,-7.146865559762514,-0.0240702375225057,0.0240702375225057,deficient,deficient,1,2,4,3
conf_sphere_r05,3,"9,17,25",-8.113638010313297,-8.087827012396625,-0.02581099791667185,0.02581099791667185,deficient,deficient,3,4,22,21
conf_sphere_r05,3,"9,17,31",-7.032054246088273,-7.030961416945783,-0.0010928291424896486,0.0010928291424896486,deficient,deficient,1,1,2,2
conf_sphere_r05,3,"9,18,22",-6.7706403129314605,-6.7467287636782896,-0.02391154925317096,0.02391154925317096,full,deficient,0,1,6,4
conf_sphere_r05,3,"9,25,27",-7.970308391933917,-7.991898431823079,0.02159003988916197,0.02159003988916197,deficient,deficient,4,3,21,22
conf_sphere_r05,3,"11,14,22",-7.513034368074443,-7.535810070334428,0.022775702259984598,0.022775702259984598,deficient,deficient,2,1,13,14
conf_sphere_r05,3,"11,20,30",-7.074413717825139,-7.097466227922322,0.02305251009718301,0.02305251009718301,deficient,full,1,0,6,7
conf_sphere_r05,3,"12,17,19",-7.510583051039777,-7.509320903711462,-0.0012621473283154216,0.0012621473283154216,deficient,deficient,2,2,13,13
conf_sphere_r05,3,"12,17,20",-7.958201334677089,-7.956810109503243,-0.0013912251738457115,0.0013912251738457115,deficient,deficient,4,4,19,18
conf_sphere_r05,3,"12,17,25",-8.069961425827723,-8.068770390505591,-0.001191035322131384,0.001191035322131384,deficient,deficient,3,3,20,20
conf_sphere_r05,3,"12,17,30",-7.972673827987454,-7.971552602945723,-0.0011212250417313996,0.0011212250417313996,deficient,deficient,3,3,21,21
conf_sphere_r05,3,"12,20,25",-7.911087692410076,-7.935997287161103,0.024909594751027164,0.024909594751027164,deficient,deficient,5,4,25,26
conf_sphere_r05,3,"12,20,30",-7.790976148442685,-7.814853478855074,0.02387733041238871,0.02387733041238871,deficient,deficient,4,3,23,24
conf_sphere_r05,3,"12,22,30",-7.829614536475615,-7.855040170865654,0.025425634390038532,0.025425634390038532,deficient,deficient,3,2,21,23
conf_sphere_r05,3,"14,17,22",-7.901540272621667,-7.900311325239202,-0.001228947382465151,0.001228947382465151,deficient,deficient,5,5,16,16
conf_sphere_r05,3,"14,17,28",-7.550936570241983,-7.527595684029306,-0.023340886212676715,0.023340886212676715,deficient,deficient,5,6,12,11
conf_sphere_r05,3,"15,17,20",-7.620727062579594,-7.6197036594406455,-0.0010234031389488862,0.0010234031389488862,deficient,deficient,2,2,10,10
conf_sphere_r05,3,"15,17,22",-7.408491012452452,-7.407421686187079,-0.0010693262653731495,0.0010693262653731495,deficient,deficient,1,1,8,7
conf_sphere_r05,3,"15,18,20",-6.972207577411793,-6.971174139106093,-0.0010334383056997964,0.0010334383056997964,deficient,deficient,1,1,6,6
conf_sphere_r05,3,"15,20,26",-6.866538948952503,-6.865455519192106,-0.0010834297603965481,0.0010834297603965481,full,full,0,0,3,3
conf_sphere_r05,3,"17,18,20",-6.882647404025163,-6.881329594729779,-0.0013178092953838316,0.0013178092953838316,full,full,0,0,6,6
conf_sphere_r05,3,"17,18,25",-6.839023200761502,-6.837896168163306,-0.0011270325981955764,0.0011270325981955764,deficient,deficient,1,1,5,5
conf_sphere_r05,3,"17,18,28",-6.900655173216228,-6.899638313003388,-0.001016860212839532,0.001016860212839532,deficient,deficient,1,1,5,5
conf_sphere_r05,3,"17,19,20",-7.389890435997157,-7.388727882595553,-0.0011625534016035388,0.0011625534016035388,deficient,deficient,3,3,12,12
conf_sphere_r05,3,"17,20,25",-7.863154978173083,-7.861950349986603,-0.00120462818648015,0.00120462818648015,deficient,deficient,6,6,24,24
conf_sphere_r05,3,"17,20,26",-6.800067547585786,-6.798947035380102,-0.0011205122056843209,0.0011205122056843209,full,full,0,0,2,2
conf_sphere_r05,3,"17,20,28",-7.765002729749091,-7.763855234963642,-0.0011474947854495099,0.0011474947854495099,deficient,deficient,5,5,18,18
conf_sphere_r05,3,"17,22,25",-7.837342703019409,-7.836328762522462,-0.001013940496947363,0.001013940496947363,deficient,deficient,5,5,16,16
conf_sphere_r05,3,"17,25,28",-7.708116435531911,-7.730401547440139,0.022285111908227684,0.022285111908227684,deficient,deficient,5,4,17,18
conf_sphere_r05,3,"17,25,30",-7.796233599351297,-7.794975630293721,-0.0012579690575753588,0.0012579690575753588,deficient,deficient,4,4,16,16
conf_sphere_r05,3,"18,20,25",-6.896534854023513,-6.918691601109416,0.022156747085903206,0.022156747085903206,deficient,full,1,0,6,6
conf_sphere_r05,3,"18,20,30",-6.884660764905393,-6.883609842758335,-0.001050922147057598,0.001050922147057598,full,full,0,0,7,7
conf_sphere_r05,3,"20,26,28",-6.8970974071029225,-6.895998375440956,-0.0010990316619663432,0.0010990316619663432,full,full,0,0,3,3
conf_sphere_r05,5,"10,15,17,18,22",-6.901053492697937,-6.877243012418809,-0.023810480279127688,0.023810480279127688,full,deficient,0,1,6,5
