23:15:04 [ok] phys=3.07GB pf=7.35GB temp=77°C
23:15:07 [ok] phys=3.07GB pf=7.34GB temp=79°C
23:15:11 [ok] phys=3.07GB pf=7.34GB temp=77°C
23:15:14 [ok] phys=3.07GB pf=7.34GB temp=77°C
23:15:17 [ok] phys=3.06GB pf=7.33GB temp=77°C
23:15:20 [ok] phys=3.07GB pf=7.33GB temp=78°C
23:15:23 [ok] phys=3.06GB pf=7.33GB temp=77°C
23:15:26 [ok] phys=3.06GB pf=7.33GB temp=77°C
23:15:29 [ok] phys=3.05GB pf=7.33GB temp=79°C
23:15:32 [ok] phys=3.09GB pf=7.36GB temp=77°C
23:15:35 [ok] phys=3.09GB pf=7.36GB temp=77°C
23:15:38 [ok] phys=3.08GB pf=7.35GB temp=81°C
23:15:41 [ok] phys=2.87GB pf=7.33GB temp=78°C
23:15:44 [ok] phys=2.94GB pf=7.33GB temp=77°C
23:15:47 [ok] phys=2.96GB pf=7.32GB temp=77°C
23:15:50 [ok] phys=2.97GB pf=7.32GB temp=79°C
23:15:53 [ok] phys=2.97GB pf=7.27GB temp=77°C
23:15:56 [ok] phys=3.00GB pf=7.29GB temp=77°C
23:15:59 [ok] phys=3.01GB pf=7.30GB temp=77°C
23:16:02 [ok] phys=2.99GB pf=7.28GB temp=79°C
23:16:05 [ok] phys=3.01GB pf=7.27GB temp=77°C
23:16:09 [ok] phys=3.04GB pf=7.30GB temp=77°C
23:16:12 [ok] phys=3.04GB pf=7.30GB temp=77°C
23:16:15 [ok] phys=3.06GB pf=7.30GB temp=78°C
23:16:18 [ok] phys=3.07GB pf=7.31GB temp=77°C
23:16:21 [ok] phys=3.08GB pf=7.31GB temp=77°C
23:16:24 [ok] phys=3.08GB pf=7.30GB temp=79°C
23:16:27 [ok] phys=3.08GB pf=7.30GB temp=77°C
23:16:30 [ok] phys=3.09GB pf=7.29GB temp=77°C
23:16:33 [ok] phys=3.03GB pf=7.25GB temp=77°C
23:16:36 [ok] phys=3.01GB pf=7.21GB temp=79°C
23:16:39 [ok] phys=3.00GB pf=7.19GB temp=78°C
23:16:42 [ok] phys=2.92GB pf=7.11GB temp=77°C
23:16:45 [ok] phys=2.92GB pf=7.11GB temp=77°C
23:16:48 [ok] phys=3.90GB pf=7.19GB temp=80°C
23:16:52 [ok] phys=3.85GB pf=7.18GB temp=77°C
23:16:55 [ok] phys=3.79GB pf=7.16GB temp=77°C
23:16:58 [ok] phys=3.75GB pf=7.16GB temp=77°C
23:17:01 [ok] phys=3.68GB pf=7.19GB temp=78°C
23:17:04 [ok] phys=3.68GB pf=7.19GB temp=77°C
23:17:07 [ok] phys=3.67GB pf=7.19GB temp=77°C
23:17:10 [ok] phys=3.67GB pf=7.19GB temp=77°C
23:17:13 [ok] phys=3.68GB pf=7.19GB temp=78°C
23:17:16 [ok] phys=3.62GB pf=7.14GB temp=77°C
23:17:19 [ok] phys=3.62GB pf=7.14GB temp=77°C
23:17:22 [ok] phys=3.62GB pf=7.15GB temp=81°C
23:17:25 [ok] phys=3.62GB pf=7.15GB temp=78°C
23:17:28 [ok] phys=3.61GB pf=7.15GB temp=77°C
23:17:32 [ok] phys=3.61GB pf=7.15GB temp=77°C
23:17:35 [ok] phys=3.60GB pf=7.14GB temp=77°C
23:17:38 [ok] phys=3.61GB pf=7.16GB temp=81°C
23:17:41 [ok] phys=3.60GB pf=7.15GB temp=77°C
23:17:44 [ok] phys=3.61GB pf=7.15GB temp=77°C
23:17:47 [ok] phys=3.59GB pf=7.14GB temp=80°C
23:17:50 [ok] phys=3.62GB pf=7.17GB temp=78°C
23:17:53 [ok] phys=3.62GB pf=7.18GB temp=77°C
23:17:56 [ok] phys=3.62GB pf=7.18GB temp=77°C
23:17:59 [ok] phys=3.62GB pf=7.18GB temp=77°C
23:18:02 [ok] phys=3.63GB pf=7.18GB temp=77°C
23:18:05 [ok] phys=3.63GB pf=7.18GB temp=77°C
23:18:08 [ok] phys=3.62GB pf=7.17GB temp=77°C
23:18:11 [ok] phys=3.62GB pf=7.18GB temp=79°C
23:18:14 [ok] phys=3.64GB pf=7.20GB temp=77°C
23:18:18 [ok] phys=3.64GB pf=7.20GB temp=77°C
23:18:21 [ok] phys=3.64GB pf=7.20GB temp=77°C
23:18:24 [ok] phys=3.63GB pf=7.19GB temp=79°C
23:18:27 [ok] phys=3.63GB pf=7.19GB temp=77°C
23:18:30 [ok] phys=3.59GB pf=7.14GB temp=77°C
23:18:33 [ok] phys=3.60GB pf=7.15GB temp=80°C
23:18:36 [ok] phys=3.62GB pf=7.17GB temp=77°C
23:18:39 [ok] phys=3.64GB pf=7.20GB temp=77°C
23:18:42 [ok] phys=3.64GB pf=7.20GB temp=77°C
23:18:45 [ok] phys=3.63GB pf=7.20GB temp=81°C
23:18:48 [ok] phys=3.63GB pf=7.20GB temp=77°C
23:18:51 [ok] phys=3.64GB pf=7.20GB temp=77°C
23:18:54 [ok] phys=3.63GB pf=7.20GB temp=77°C
23:18:57 [ok] phys=3.62GB pf=7.19GB temp=80°C
23:19:00 [ok] phys=3.63GB pf=7.19GB temp=77°C
23:19:03 [ok] phys=3.63GB pf=7.19GB temp=77°C
23:19:06 [ok] phys=3.62GB pf=7.19GB temp=81°C
23:19:09 [ok] phys=3.62GB pf=7.18GB temp=77°C
23:19:12 [ok] phys=3.63GB pf=7.20GB temp=77°C
23:19:15 [ok] phys=3.63GB pf=7.20GB temp=77°C
23:19:19 [ok] phys=3.62GB pf=7.19GB temp=80°C
23:19:22 [ok] phys=3.63GB pf=7.20GB temp=77°C
23:19:25 [ok] phys=3.62GB pf=7.20GB temp=77°C
23:19:28 [ok] phys=3.65GB pf=7.22GB temp=77°C
23:19:31 [ok] phys=3.66GB pf=7.23GB temp=80°C
23:19:34 [ok] phys=3.66GB pf=7.23GB temp=77°C
23:19:37 [ok] phys=3.65GB pf=7.22GB temp=77°C
23:19:40 [ok] phys=3.64GB pf=7.23GB temp=77°C
23:19:43 [ok] phys=3.65GB pf=7.22GB temp=78°C
23:19:46 [ok] phys=3.64GB pf=7.22GB temp=77°C
23:19:49 [ok] phys=3.56GB pf=7.15GB temp=77°C
23:19:52 [ok] phys=3.47GB pf=7.06GB temp=77°C
23:19:55 [ok] phys=3.51GB pf=7.10GB temp=79°C
23:19:58 [ok] phys=3.51GB pf=7.11GB temp=77°C
23:20:01 [ok] phys=3.55GB pf=7.18GB temp=77°C
23:20:04 [ok] phys=3.57GB pf=7.19GB temp=80°C
23:20:07 [ok] phys=3.57GB pf=7.19GB temp=77°C
23:20:10 [ok] phys=3.60GB pf=7.24GB temp=80°C
23:20:14 [ok] phys=3.28GB pf=7.24GB temp=83°C
23:20:17 [ok] phys=3.36GB pf=7.24GB temp=78°C
23:20:20 [ok] phys=3.40GB pf=7.21GB temp=77°C
23:20:23 [ok] phys=3.45GB pf=7.26GB temp=77°C
23:20:26 [ok] phys=3.46GB pf=7.26GB temp=79°C
23:20:29 [ok] phys=3.48GB pf=7.25GB temp=77°C
23:20:32 [ok] phys=3.51GB pf=7.26GB temp=77°C
23:20:35 [ok] phys=3.52GB pf=7.26GB temp=77°C
