probe,scene,N,g0,g1,g2,g3,g4,g_min_over_max
A,3354476a318444a88d29eb0105f69289,5,0.0007707612821832299,0.0007707618060521781,0.0007707612821832299,0.0007707616896368563,0.0007707615732215345,0.9999993203231606
B,00f7c6d95b7d4c359681cc3b93f8a077,5,0.0005642048781737685,0.0005641807219944894,0.0005641895695589483,0.0005641948664560914,0.0005641742027364671,0.9999456306769259
B,00ff6c772dce4e84bf66544ada6093a0,5,0.0005672036204487085,0.0005672772531397641,0.0005672547267749906,0.0005672819097526371,0.000567238952498883,0.9998619922430406
B,0104f4b9bd3c476d949785e03f2ff7c6,5,0.0005621613818220794,0.0005621980526484549,0.0005622061435133219,0.0005621928139589727,0.0005621961317956448,0.9999203820666869
B,0109cde49c664b408e6a95a82d235070,5,0.0005747202667407691,0.0005747121176682413,0.0005746649112552404,0.0005746743991039693,0.0005746347596868873,0.9998512196996866
B,01f2d9c189f5404c97f696d022b0ad81,5,0.0005622732569463551,0.0005622732569463551,0.000562273315154016,0.0005622732569463551,0.0005622732569463551,0.999999896477995
B,024bfdbc8f1c4a75bdbaaecb905e04e8,5,0.0005649721133522689,0.0005649709491990507,0.0005649725790135562,0.0005649709491990507,0.0005649725790135562,0.9999971152325509
B,027e8e8787bf40689bdd8e795636a106,5,0.0005732806166633964,0.0005732948775403202,0.0005733015714213252,0.0005733076832257211,0.0005732810241170228,0.9999527887675036
B,02c1619333c74000886bee7b9667e1d6,5,0.0005697778542526066,0.0005697828019037843,0.0005697786691598594,0.0005697982269339263,0.0005697898450307548,0.9999642457972723
B,02fc000a981e416386d8cc51c858de5b,5,0.0005656197899952531,0.000565754366107285,0.00056557881180197,0.0005657574511133134,0.0005656022112816572,0.9996842475322386
B,03ba54375bcb45d1a92a5dcb9e8e3a59,5,0.0005796419573016465,0.0005796484765596688,0.0005796081386506557,0.0005796398036181927,0.0005796565092168748,0.9999165530526269
B,0437089225fb4b8496c6c4a824d370e6,5,0.0005609234212897718,0.0005609243526123464,0.0005609305808320642,0.0005608838400803506,0.0005608838400803506,0.9999166728409705
B,048002dcad254cf8b57d51d84ad84435,5,0.0005621738964691758,0.0005621564923785627,0.0005621738964691758,0.0005621793097816408,0.0005621793097816408,0.9999594125883307
B,04dbe2471a134bd68f5b8d8d4af95aae,5,0.0005744147929362953,0.0005743507645092905,0.0005744001246057451,0.000574365898501128,0.0005744219524785876,0.999876070249422
