probe,scene,N,si_mae_A,depth_l1,normal_mae,sh_err
A,0109cde49c664b408e6a95a82d235070,5,0.20037665963172913,0.13528138399124146,3.9168148040771484,1.8469555377960205
A,01f2d9c189f5404c97f696d022b0ad81,1,0.0008750032284297049,0.30770379304885864,4.364471912384033,0.8221650123596191
A,01f2d9c189f5404c97f696d022b0ad81,2,0.0008750032284297049,0.30770379304885864,4.364471912384033,1.1657028198242188
A,01f2d9c189f5404c97f696d022b0ad81,3,0.0008750032284297049,0.30770379304885864,4.364471912384033,1.4264553785324097
A,01f2d9c189f5404c97f696d022b0ad81,5,0.0008750029955990613,0.30770277976989746,4.364473342895508,1.846466064453125
A,024bfdbc8f1c4a75bdbaaecb905e04e8,1,0.0658801794052124,0.21866726875305176,8.191024780273438,0.8218724727630615
A,024bfdbc8f1c4a75bdbaaecb905e04e8,2,0.0658801794052124,0.21866725385189056,8.190994262695312,1.1657969951629639
A,024bfdbc8f1c4a75bdbaaecb905e04e8,3,0.065880186855793,0.21866677701473236,8.190982818603516,1.426357626914978
A,024bfdbc8f1c4a75bdbaaecb905e04e8,5,0.06588015705347061,0.21866734325885773,8.190985679626465,1.846553087234497
A,027e8e8787bf40689bdd8e795636a106,1,0.028573185205459595,0.19192467629909515,5.256186008453369,0.8209810256958008
A,027e8e8787bf40689bdd8e795636a106,2,0.028573110699653625,0.19192469120025635,5.256181716918945,1.1660820245742798
A,027e8e8787bf40689bdd8e795636a106,3,0.028573177754878998,0.19192467629909515,5.256171226501465,1.4260919094085693
A,027e8e8787bf40689bdd8e795636a106,5,0.02857319451868534,0.19192512333393097,5.256195545196533,1.8468436002731323
A,02c1619333c74000886bee7b9667e1d6,1,0.0001478774065617472,0.2887245714664459,7.1120123863220215,0.8214109539985657
A,02c1619333c74000886bee7b9667e1d6,2,0.0001478774065617472,0.288725346326828,7.112014293670654,1.165941596031189
A,02c1619333c74000886bee7b9667e1d6,3,0.00014787742111366242,0.2887254059314728,7.111999034881592,1.4262330532073975
A,02c1619333c74000886bee7b9667e1d6,5,0.00014787739200983196,0.2887243926525116,7.111991882324219,1.846713662147522
A,02fc000a981e416386d8cc51c858de5b,1,0.18112215399742126,0.2729564905166626,14.709196090698242,0.8218259811401367
A,02fc000a981e416386d8cc51c858de5b,2,0.18112212419509888,0.27295538783073425,14.709249496459961,1.1658108234405518
A,02fc000a981e416386d8cc51c858de5b,3,0.18112200498580933,0.27295687794685364,14.709169387817383,1.4263511896133423
A,02fc000a981e416386d8cc51c858de5b,5,0.1811220943927765,0.27295592427253723,14.70920467376709,1.846574068069458
A,03ba54375bcb45d1a92a5dcb9e8e3a59,1,0.05120976269245148,0.3408127427101135,3.0629727840423584,0.8205142617225647
A,03ba54375bcb45d1a92a5dcb9e8e3a59,2,0.0512097030878067,0.34081292152404785,3.062971830368042,1.1662319898605347
A,03ba54375bcb45d1a92a5dcb9e8e3a59,3,0.05120963975787163,0.34081244468688965,3.0629804134368896,1.4259847402572632
A,03ba54375bcb45d1a92a5dcb9e8e3a59,5,0.0512097142636776,0.3408137857913971,3.062971353530884,1.84702730178833
A,0437089225fb4b8496c6c4a824d370e6,1,0.08081463724374771,0.42402082681655884,26.294700622558594,0.8224013447761536
A,0437089225fb4b8496c6c4a824d370e6,2,0.08081488311290741,0.4240214228630066,26.294649124145508,1.165626883506775
A,0437089225fb4b8496c6c4a824d370e6,3,0.08081500977277756,0.4240225851535797,26.294687271118164,1.4265356063842773
A,0437089225fb4b8496c6c4a824d370e6,5,0.08081483840942383,0.4240211546421051,26.294750213623047,1.8463966846466064
A,048002dcad254cf8b57d51d84ad84435,1,0.07408075779676437,0.20530858635902405,10.02584457397461,0.8222561478614807
A,048002dcad254cf8b57d51d84ad84435,2,0.07408075779676437,0.20530858635902405,10.02584457397461,1.165673017501831
A,048002dcad254cf8b57d51d84ad84435,3,0.07408074289560318,0.2053084820508957,10.025848388671875,1.4264886379241943
A,048002dcad254cf8b57d51d84ad84435,5,0.07408065348863602,0.20530982315540314,10.025850296020508,1.8464409112930298
A,04dbe2471a134bd68f5b8d8d4af95aae,1,0.042262326925992966,0.3104873299598694,5.051671028137207,0.821115255355835
A,04dbe2471a134bd68f5b8d8d4af95aae,2,0.04226251319050789,0.3104889690876007,5.0516886711120605,1.1660395860671997
A,04dbe2471a134bd68f5b8d8d4af95aae,3,0.0422624908387661,0.31048938632011414,5.051673412322998,1.4261595010757446
A,04dbe2471a134bd68f5b8d8d4af95aae,5,0.04226257652044296,0.3104894459247589,5.051677703857422,1.8468266725540161
A,04e43ff1195e45029a03b6cdc53f9aa8,1,0.00014698713493999094,0.2756509780883789,15.077777862548828,0.8220542073249817
A,04e43ff1195e45029a03b6cdc53f9aa8,2,0.00014698713493999094,0.27565011382102966,15.077768325805664,1.1657376289367676
A,04e43ff1195e45029a03b6cdc53f9aa8,3,0.0001469871640438214,0.27565059065818787,15.077777862548828,1.4264264106750488
A,04e43ff1195e45029a03b6cdc53f9aa8,5,0.00014698713493999094,0.2756492793560028,15.077789306640625,1.846505045890808
A,04e5ee9a0baa446e9ab973cce0153bc8,1,0.00014720161561854184,0.27610981464385986,5.695711135864258,0.8211116194725037
A,04e5ee9a0baa446e9ab973cce0153bc8,2,0.00014720161561854184,0.2761094272136688,5.695715427398682,1.1660388708114624
A,04e5ee9a0baa446e9ab973cce0153bc8,3,0.0001472016010666266,0.2761094570159912,5.695712566375732,1.4261376857757568
A,04e5ee9a0baa446e9ab973cce0153bc8,5,0.00014720161561854184,0.27610838413238525,5.695683479309082,1.846805453300476
