scene,N,subset,solver_final_loss,solver_grad_norm,solver_tail_range,solver_restart,solver_iters,solver_si_mae_A,solver_ho_psnr,solver_success_asrecorded,solver_converged_asrecorded,score_P,score_cutoff,score_path,score_full_lam_min_pos_norm,score_full_lam_max_norm,score_full_logdet_pos_norm,score_full_a_opt_pos_norm,score_full_d_pos,score_full_trace,score_full_min_eig,score_full_gauge_residual,score_full_offdiag_max,score_rank_Fk_min,score_active_frac_min,score_boundary_frac_max,scores_matched
conf_ellipsoid_x13z07,3,"1,7,22",0.00012592141865752637,0.00043761387953867486,nan,0,1400,0.02292868122458458,14.612553071165442,0,0,1000,1e-08,dense,1.8839884787339605e-08,0.004978642201334883,-7.8850946758536455,290799.66069562116,933,251.20555287362697,-3.1220339179498693e-16,3.1551533364886896e-14,0.034149296277391245,9,0.589,0.0,1
conf_ellipsoid_x13z07,3,"1,8,25",0.00012546831567306072,0.0006280302808189636,nan,0,1400,0.007655993569642305,19.927488642310205,0,0,1000,1e-08,dense,1.0381418671555472e-06,0.0018817304304684734,-7.151996757732433,4401.368443096474,999,625.5236582151322,-5.700967597000275e-14,8.712060700681266e-14,0.03506152060322694,9,0.636,0.0,1
conf_ellipsoid_x13z07,3,"1,16,20",0.00013239556574262679,0.0005759499619086107,nan,0,1400,0.007477565202862024,18.305802300627963,0,0,1000,1e-08,dense,1.060988312918048e-06,0.0019191426607661143,-7.302947276647065,7497.670493355997,999,601.240284630429,-9.37056641664195e-15,3.261369147506431e-14,0.03777152351881609,9,0.608,0.0,1
conf_ellipsoid_x13z07,3,"2,10,13",0.00016459781909361482,0.0005726963057919586,nan,0,1400,0.00810626894235611,19.879823720583396,0,0,1000,1e-08,dense,3.669946578235919e-08,0.0022376458477937878,-7.392319601293131,49577.13219284708,999,1066.3697358169647,1.8567982878515705e-14,6.191542633014902e-14,0.051034787603610354,9,0.757,0.0,1
conf_ellipsoid_x13z07,3,"3,20,30",0.00014342251233756542,0.0005472075578662116,nan,0,1400,0.0072621917352080345,17.750704257478823,0,0,1000,1e-08,dense,1.0402126281388321e-07,0.0026643336354823873,-7.384440572039729,28967.415904645306,998,642.3258491678748,-7.266323236225699e-16,3.7229323320854694e-14,0.04981834700756426,9,0.791,0.0,1
conf_ellipsoid_x13z07,3,"3,24,27",0.00015186841483227909,0.0004978812794305304,nan,0,1400,0.01256775762885809,17.156795500116168,0,0,1000,1e-08,dense,1.6901514695277875e-08,0.002635225349813006,-7.772454805699426,328326.4253469571,968,950.7121213773602,-5.607220755428271e-16,6.141907506514569e-14,0.04836549513076527,9,0.873,0.0,1
conf_ellipsoid_x13z07,3,"4,5,22",0.0001260469580302015,0.0005915547428141652,nan,0,1400,0.007473326288163662,18.97803784402384,0,0,1000,1e-08,dense,1.1033905300247838e-06,0.002001073290008042,-7.205531230322982,5334.194865451614,999,555.8676399487347,6.41057355509687e-14,6.468734679991932e-14,0.029423981443353814,9,0.55,0.0,1
conf_ellipsoid_x13z07,3,"4,19,24",0.00011973123764619231,0.0004975613412710661,nan,0,1400,0.010150810703635216,16.2391257936893,0,0,1000,1e-08,dense,3.214653546680817e-08,0.003385542994332664,-7.901654302785887,102242.47065062152,967,597.7513748902539,-3.137648381804405e-16,3.935784349111033e-14,0.04743247036149098,9,0.565,0.0,1
conf_ellipsoid_x13z07,3,"5,7,8",0.00017249106895178556,0.0005999434185882136,nan,0,1400,0.008577743545174599,21.050360798390322,0,0,1000,1e-08,dense,6.959695795128634e-07,0.0016868772051537478,-7.04666235806518,4053.0079233193082,999,996.5957047308632,5.961254810404574e-14,8.65433001681394e-14,0.027364239204606386,9,0.699,0.0,1
conf_ellipsoid_x13z07,3,"5,7,11",0.00016435679572168738,0.0005757510046892475,nan,0,1400,0.007470980752259493,19.280735213965173,0,0,1000,1e-08,dense,1.1300191196141014e-06,0.0014330835925584018,-7.006000665371009,3027.9008794947513,999,844.1233809271974,-1.9812127227818673e-13,1.7845355353999985e-13,0.030955518024697214,9,0.695,0.0,1
